cluster_372	4	POLR3B	POLR3D	POLR3E	POLR3K
cluster_373	4	POP4	RBM4B	RPP25	RPP40
cluster_374	4	POTEB	SNX1	SNX2	SNX6
cluster_375	4	PPP4C	PPP4R2	SMEK1	SMEK2
cluster_376	4	PPP4R2	SMEK1	SMEK2	ZNF785
cluster_377	4	PRKAA1	PRKAB1	PRKAB2	SCRIB
cluster_378	4	PRKAA2	PRKAB1	PRKAB2	PRKAG1
cluster_379	4	PROSAPIP1	SIPA1L1	SIPA1L2	SIPA1L3
cluster_380	4	PSD4	YWHAE	YWHAG	YWHAZ
cluster_381	4	PSMA7	PSMB3	PSMB9	RNF181
cluster_382	4	PSMC1	PSMC4	PSMD12	PSMD5
cluster_383	4	PSMD4	TMEM31	UBE3A	UCHL5
cluster_384	4	RIPK4	YWHAB	YWHAG	YWHAH
cluster_385	4	RNPC3	SNRPB	SNRPD3	SNRPN
cluster_386	4	RPL18	RPL7A	RPL8	SPPL3
cluster_387	4	S100A6	VPS26A	VPS26B	VPS35
cluster_388	4	SGOL1	USP46	WDR20	WDR48
cluster_389	4	SNRPB	SNRPD3	SNRPN	TXNL4A
cluster_390	4	SNRPB	SNRPD3	SNRPN	WBP4
cluster_391	4	SNX1	SNX2	SNX32	SNX6
cluster_392	4	SNX3	VPS26A	VPS26B	VPS35
cluster_393	4	SPECC1L	YWHAG	YWHAH	YWHAQ
cluster_394	4	SYNGAP1	YWHAE	YWHAG	YWHAZ
cluster_395	4	TBC1D5	VPS26A	VPS26B	VPS35
cluster_396	4	TECPR2	VPS16	VPS33A	VPS41
cluster_397	4	TPD52	TPD52L1	TPD52L2	TPD52L3
cluster_398	4	TPM1	TPM2	TPM3	TPM4
cluster_399	4	UQCR10	UQCRB	UQCRC1	UQCRC2
cluster_400	4	UQCR10	UQCRB	UQCRC1	UQCRQ
cluster_401	4	ZNF212	ZNF398	ZNF767	ZNF777
cluster_402	3	A1BG	RNF123	UBAC1
cluster_403	3	AATF	RPL17	SURF6
cluster_404	3	ABT1	DDX47	NOL10
cluster_405	3	ACACB	MID1IP1	THRSP
